"","average","sd","ratio","ava","avb","cumsum","p","padj"
"d6992915e0c28999e8d466f1592d8b7a",0;000418792035158033,0;00191992728657082,0;218129112538443,0,0;000837584070316065,0;99159774161281,0;224,1
"bdf8ede33b2c7001840621a6f72229dd",0;000408047513242036,0;000979471632216808,0;416599623532245,0;000383072834618109,0;000522694917791566,0;992027017055624,0;447,1
"31415f8d3595a43846a89317548511ce",0;000397189477533375,0;00170193862214104,0;233374736530576,0;000679218454428885,0;000124757209024354,0;992444869593174,1,1
"6915ce702b5bac12f5018e69a2bca72e",0;000353841539869222,0;00164482003016937,0;215124775585805,0;000680026378502846,3;20787330804447e-05,0;992817119095459,1,1
"2ea15125b3c28f70f4e9b2011fb1b32e",0;000351534719054969,0;000796078146760398,0;441583179346806,0;000687618376510397,5;29323062971121e-05,0;993186941768774,0;132,1
"b53ede99325c8616840fa8e938464d7e",0;000344841069903388,0;000848997827775868,0;406174266436903,0;000550374395861121,0;000212903577239694,0;993549722568017,0;782,1
"79211df1215da97e2f8277d6b2222fe2",0;000297924133864722,0;00107592759058087,0;276899799273554,5;78432786495831e-06,0;000591027994508645,0;993863145662973,0;216,1
"ee121b5310faf3d1c9e119e3ac6048ba",0;000296956198960653,0;00142529442078001,0;208347268207322,0,0;000593912397921307,0;994175550467973,0;454,1
"187ab8462b8b440e1def5212412d9e06",0;000275709953129308,0;00137965570225895,0;199839679332953,0;000551419906258616,0,0;994465603729852,1,1
"5bf5a35fbf5c2c129b31a4aaa02679bd",0;000262020254630672,0;0012324509164311,0;212600965391322,0;000498912448472003,2;80293599184401e-05,0;994741255111573,0;743,1
"9bfd7d6705ff77f170d74bd7d21e15c7",0;000254690219305887,0;00065490280993394,0;388897734812862,0;000440531711680066,0;000101722406562425,0;995009195126215,0;691,1
"59788ef0375e4756a83b5a60f29a3303",0;000252938952937988,0;000882563384556181,0;286595792850827,0;000505877905875977,0,0;995275292768042,1,1
"08d77d3861ee0c24205b9a999144495f",0;00023364301378608,0;000805374225141182,0;290104905884122,0;000434310429514723,3;8971161340608e-05,0;995521090634586,1,1
"93dc6bb121df4cf4164c024ac00012b4",0;000224707876440902,0;0010524613294505,0;213507014607582,0;00042196639694351,2;9736802266485e-05,0;995757488529518,1,1
