"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0420d390149c22d99f06f042f8e82022",6;33399757434772,0;898431985499428,0;408979759106117,1;43503368742307,0;151277498236685,0;233590254630175
"d3ab276830b02edd6977f850f0ef8caa",1;16266128321591,-5;17354245789711,0;235824101045172,0;114374383843903,0;908941019453622,NA
"d9b3a569d44a34c6a764a5a298219d08",1;59163174288225,-5;50688574485578,0;263062423020327,-1;14799922931494,0;250968881987022,0;340921306299231
"5507ca21e75b9dee479d164ae91bf887",1;18425156869923,4;56087350725165,0;242225489366734,-0;0200635236134085,0;983992698223924,NA
"ba01d82683535dedddbe18c540d309be",1;74827010040175,-0;807796915069154,0;333723444487382,-2;40198873619153,0;0163062105168528,0;0503574148314572
"890b0fb43b36350b30ca02829f3e91ad",1;31379328159914,-0;248595602895518,0;324746142833467,-0;764821419441036,0;444377891297898,NA
"543d211dd0ff4f6d0066ec3850ed5082",1;55128642191565,-1;80468751344828,0;270545116737233,1;68847716588489,0;0913196686105171,0;177566022298228
"461c2b20bd5c233dcac34fc89ce1a66f",163;991162036843,3;35139909028994,0;436301781653817,9;53207727901474,1;5416695971336e-21,8;09376538495139e-20
"93dc6bb121df4cf4164c024ac00012b4",1;3142124568082,-0;248664125283262,0;324751842704711,-0;765021687319257,0;444258630578397,NA
"b88919456fa9bc9afe13c91708403a1b",1;18425156869923,4;14048920266465,0;245484058456943,-0;0200635236134085,0;983992698223924,NA
"317082b6c8a20c520c8e26de3ce89caa",1;42167484648089,-3;04426772904642,0;15902656116645,-1;27922956221283,0;200816228540662,NA
"5ae1f1acc18efc7823c3415d779b0385",1;16259142068107,1;16280149037306,0;29142742008845,-0;149446827181079,0;881201063831336,NA
"d0663dc6e98d4272e5c13d317fed72cc",554;01421997467,-3;09455355881235,0;43785613993211,-11;0888104842278,1;42165573045504e-28,1;49273851697779e-26
