"","average","sd","ratio","ava","avb","cumsum","p","padj"
"7b613554efbd1e785f8043b4b3473730",0;00064570349990597,0;000765484493439485,0;843522638851489,0;000943559526232323,0;00160019868632918,0;300848595255468,0;061,1
"d0566d7177499d5cacdb330361254a8d",0;000641628348709152,0;000494352175410594,1;29791751836883,0;00317487881789633,0;00244949279604501,0;301940235521746,0;019,1
"799818039080365999a8235cb8fb3d85",0;000640409735502286,0;000659620219893762,0;970876447064388,0;00117612376069123,0;00108190282305184,0;303029802489287,0;925,1
"d6df4aad208cefe8d77c68589f3c517a",0;000638449586580419,0;00124559101172427,0;512567592870321,0;00023989300646555,0;00113743387906918,0;304116034539511,0;106,1
"34ed328c613f375007ac33114ba723ae",0;000636278555805508,0;000852591844438908,0;746287405815199,0;000997246231076988,0;000610424096492527,0;305198572886646,0;61,1
"4ad1a2c66293d2709554bca7e2fe4dd9",0;000633926755281408,0;000536713989076435,1;18112582899554,0;00100393921608409,0;00172723043218948,0;306277109976426,0;012,1
"d407d1b7c8fb9f21d4cef353ba0368ff",0;00062747917302049,0;000824605317970116,0;760944853672688,0;000325093309616924,0;00123653788705782,0;307344677413086,0;004,0;8236
"c01731f9bb08a8796835c7fb57e5214f",0;000622423483659621,0;000834849161292204,0;745552026064463,0;000625197052676585,0;00131425713116377,0;30840364330636,0;105,1
"6e4d582d5d913e6d5fe05a0273c87f1d",0;000615878457925683,0;000662586681892999,0;929506243871562,0;00078687396222262,0;00124020864094721,0;30945147376017,0;347,1
"3c75304d88a18d51284e17da72e475e9",0;000615831730687087,0;000526179585690968,1;17038316847353,0;00278404191166992,0;00308659473762043,0;310499224714165,0;56,1
"6b7cea549d41a75428d8ec3c06b226ba",0;000604349648358229,0;000511075826590626,1;18250485919052,0;00193919827694036,0;00202121733491136,0;311527440522251,0;829,1
"b0befc4b43a8d9ad47dfc5e0290d4ea7",0;000588296521634203,0;000511188576625131,1;15084050883558,0;000997841287647284,0;00085300566441862,0;312528344196192,0;497,1
"1d934e17b9833d010454fd1719f136aa",0;000583438563130904,0;000635222113341274,0;918479616621045,0;000744215206470351,0;00126312220118248,0;31352098273795,0;052,1
"77572844f67e8bcd1ad492fd2083a3c6",0;000580619229715453,0;000395140519945252,1;46939936657445,0;00159337579678423,0;00119738165148724,0;314508824580986,0;117,1
"220b2244e127b169375c18a105c120f3",0;000574291463519471,0;000751578522102766,0;76411372415582,0;00084760483794669,0;000604885466422737,0;315485900621063,0;744,1
"0484c048f271abd9f3033d5c2c88ad1f",0;000564912958299253,0;000432683394896185,1;3056035081605,0;00135528081621831,0;000900354423689442,0;316447020455408,0;132,1
"dfac430ef0a8b0e7402149dcfc19552e",0;000562328836844146,0;0004970158831504,1;13141019413656,0;000666068601818637,0;00121448299666525,0;317403743771052,0;021,1
"21a88c60d51d65970fbc22d019887afb",0;000555825440781271,0;000592873403166827,0;93751117491919,0;00113672631033302,0;000885084933582976,0;318349402474256,0;461,1
"d1000d1e6380651eac5158bb1ce8fd00",0;000551872027480824,0;000452647389012317,1;21920956770571,0;00150805189086114,0;00117720906636772,0;319288335001541,0;101,1
"19a781246ffe8af93fa424f173156459",0;000546599560640885,0;000557491782776377,0;980462093842447,0;00102709383120843,0;000922401327855459,0;320218297169089,0;464,1
"c40f29ee63930d00d6de9bbfface0cd0",0;000543645287762584,0;000563810169046614,0;964234626491167,0;00122446850610659,0;000937555419750925,0;321143233057424,0;468,1
"4308b54b684c1f072338accf9d680d22",0;000538749245554448,0;000530195307993062,1;01613355952501,0;000789528187706972,0;000849450176424034,0;322059839019516,0;155,1
"adfb2b595feb3cd1e7e61b793ddc58dd",0;000534413935389528,0;000423710796106838,1;26127051823994,0;00103991252778847,0;000900006222557334,0;322969069061963,0;694,1
"fb03d40cd446618747e4cff25e3ee747",0;000531732415625637,0;000508964590426721,1;04473361335378,0;000978110271161239,0;000706550329754423,0;323873736876205,0;318,1
"caa6a0bfacc7ac68cf36148e9f25ec49",0;000527800097419596,0;000432974072404897,1;21901086244726,0;00110306650138866,0;00123529151151427,0;32477171440486,0;558,1
"9cbcf8d7de2106c2710612cdd54b6f60",0;000527623601654717,0;000427476476248567,1;23427517295225,0;00131568304328221,0;00122162834920131,0;32566939165083,0;582,1
"4173946ef4ae93233af26330615ba863",0;000526672060215827,0;00106062391331384,0;496568155407961,7;97391551445845e-05,0;00104977761336247,0;326565449983059,0;001,0;561545454545455
"ae36c65a316003540a1493825373ee34",0;000522337949648685,0;000568215328557002,0;919260574992188,0;000754223461629998,0;000782510108190104,0;327454134436589,0;58,1
"1448356db9a4afda61cc3602848194de",0;000519592543018736,0;000419131067393299,1;23968988090107,0;00140527638855893,0;00130578376085246,0;32833814796741,0;367,1
"bba457babff8756b57007a1f562e9c3b",0;000516399174130471,0;000487563150428252,1;05914315648525,0;000798486281951667,0;00117790905087187,0;329216728430833,0;254,1
"61f90ff405e23cc5d17ffe21d5203af9",0;000514369044538588,0;000591613786680726,0;869433836936892,0;000533043462064292,0;000869552385863005,0;330091854914685,0;222,1
"0aedf968fcbd25274b80d5acc4034396",0;000512109361142383,0;000497713114831834,1;02892478795825,0;000733841310986161,0;00107608153100156,0;330963136865499,0;171,1
"d6819e52a761c4d6bf05180072aa152c",0;000508903925615161,0;000544002815287029,0;935480316120516,0;000985116243461555,0;000777824179054279,0;331828965219228,0;79,1
"ae2c42c4f38b3116dc1bf41c16ddd3bf",0;000506269628184893,0;000581434176368302,0;870725610501787,0;000710190712497389,0;000787029046718812,0;332690311686903,0;297,1
"e76ccd321e94f6336d90382915d996a6",0;000505325348262961,0;000451189856453027,1;11998384058435,0;00096409653722352,0;000818415000451082,0;333550051595286,0;295,1
"fa49d35d6a1cb01e83c3152daa1e2f6e",0;000503158519989737,0;000392063106554516,1;2833610497339,0;0012644916362489,0;00179810457070111,0;334406104950545,0;028,1
"5a77806568cacec1131c77fa2b8d043c",0;00050303001316761,0;000766153349093205,0;656565704193528,0;000937471080982121,0;00148005085496589,0;335261939669546,0;188,1
"c2d61e0122293d3804036b8b97dca485",0;000502957110361901,0;000361898588676226,1;38977361642013,0;00117989335560483,0;00109400630179904,0;336117650354691,0;884,1
"a9b5012998a93b7efb19f65e0c6931f9",0;000500417938028038,0;000459881534472009,1;08814531682071,0;00190427265345411,0;00139887877876798,0;336969040995735,0;05,1
"e309002f48f2079cb08c8dbca2b1081a",0;000494964800861735,0;000390406359853514,1;26781951259056,0;00105386956991627,0;000927661546352747,0;337811153891928,0;461,1
"8e0262d07f3ac56cd81d7bb6d983c8a4",0;000493092841862731,0;00136290504955013,0;361795447177698,0;00029927800181349,0;000801972517493258,0;338650081913538,0;366,1
"08bf8db35650acea93b4a92bd7a804a3",0;000489018455370374,0;0004781435893699,1;02274393350082,0;00088306689808829,0;000637124703967569,0;339482077940381,0;542,1
"ac8d3dde2172e8fbd40240c640980b92",0;000487631486325222,0;000459770557241148,1;06059746246313,0;00116986558619,0;000928348916520693,0;340311714234738,0;277,1
"ce24f58d53a7a67f0152f984b31ba21c",0;000486281933140249,0;000420450085685638,1;15657470338544,0;001430830546366,0;00141926988596601,0;341139054454427,0;439,1
"08da400b0e70bb21e2da6a0b5a98bfa1",0;000483310899872601,0;000883221445781626,0;54721372786061,0;000160329628745794,0;000931730264071282,0;341961339879461,0;018,1
"d020f25d44c354537279f0e7a71e572d",0;000480818756469791,0;000560105435699109,0;85844329625126,0;00110539190158741,0;00073291581922821,0;342779385273497,0;234,1
"bb5b658d6bab3d0a8adc9f372a948e8a",0;000480051099310962,0;000745754407640105,0;643712051035749,0;000776175237459506,0;000408501846500192,0;343596124606997,0;452,1
"e8c056b04da8c7a1620dbfc8b9a4c626",0;000475158650591078,0;000808207282708544,0;587916813863245,0;000648352199839906,0;000474175786413248,0;344404540128068,0;402,1
"38231a7186f8af3aac3c528c479dc389",0;000468608181579937,0;000398195579344991,1;17682919119989,0;00106206375937267,0;000627078174616368,0;345201810948707,0;058,1
"c405a42577dadb505a89b7314abf2c8a",0;000464154870850049,0;000481347604445502,0;964282083391154,0;000838981518298142,0;000884581061595926,0;345991505088357,0;983,1
"0122dff4494d6d1d8a9c4442beea16c1",0;000463411048519695,0;000560011079117638,0;827503358058296,0;000716063170736296,0;000514327903856452,0;346779933719075,0;536,1
"215b4d89c2d68b0add37c72420959108",0;000460208876554673,0;000332342246636001,1;38474383324104,0;00103020400392382,0;000746079158532782,0;347562914305199,0;149,1
"f4b0dc68130b96cdf7675a4b923f08cc",0;000454832436785366,0;000373436172022979,1;2179656681929,0;000861549766000302,0;000737362163432705,0;348336747636291,0;783,1
"4e7c900aa0822b184d75bfb4acda4485",0;000451144705427316,0;000468316669238004,0;963332580412675,0;000753657458981005,0;00060343809969807,0;349104306811869,0;874,1
"c3a12716420d8365d7e5cc2619ea0cb4",0;000446329790176868,0;000435312457326555,1;0253090226684,0;0016774121522166,0;0019222495908896,0;349863674087297,0;098,1
"37a2539e3eb420519d6417974cc125e1",0;000444556090504794,0;000328634910436327,1;35273544102347,0;00124878887795908,0;000970438467960784,0;350620023662547,0;263,1
"8f347c3ac1d88c7ae3cb5fc7c434642e",0;000442921776722052,0;000316999219620445,1;3972330192244,0;0010117157323386,0;000970343880511663,0;351373592683078,0;83,1
"9b15da043b2908ef3d95099c708b15ce",0;000440109498342001,0;000307074328416313,1;43323442442029,0;00160118829460094,0;00141742972854749,0;352122377008035,0;392,1
"26528ea734990a2cb632e349ac38a012",0;00043922653211711,0;000328393310552042,1;33750145938951,0;00153242914126213,0;0012831857190204,0;352869659090321,0;122,1
"8dd3642c7755fb3c0a0b05c36efd7541",0;000436170920038105,0;000318518585872684,1;36937352915553,0;00185793313781506,0;00177900352432589,0;353611742479017,0;937,1
"4983958ea697600d795816a11c00f06a",0;000435965000285117,0;000472170390048112,0;92332134643321,0;000507386959762386,0;000974752024945907,0;354353475524256,0;049,1
"03c4a4f510cf1cbf5f4898e0c2eb5209",0;000433967957489637,0;000524185326598361,0;827890319452132,0;000713355413663645,0;00039372581336469,0;355091810882448,0;237,1
