"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"d0566d7177499d5cacdb330361254a8d",163;772372304222,-0;330530784363197,0;117146177457371,-2;82146701045958,0;00478045540252819,0;999863537933897
"f947f451209616b697d1b41656cdbac3",2;86960286586262,-0;328986329734649,0;428946794003966,-0;775436148311759,0;438081981916684,0;999863537933897
"b61e7eee8694b816a9c94fe2b1eacd78",12;0741462308449,-0;107408614557607,0;448695269625682,-0;239451461572239,0;810755529793179,0;999863537933897
"f5b477d192f9533f733fab468db2b8a5",0;901135640686359,-0;295113006431954,0;394653383541294,-1;51191965823744,0;130554302401614,0;999863537933897
"e023e49578f960840e4866b90663c61d",0;875765607190061,0;00959834697610909,0;373311015102697,0;0257279330454695,0;979474343879379,0;999863537933897
"876512664baca0483e67b0365ec458b6",2;6548441394436,0;0664211625680763,0;420053064531156,0;157969732773003,0;874480648961875,0;999863537933897
"8a4542309837816057a4740c1b16387f",2;03670043890066,-0;151775214009155,0;323924780664532,-0;481260675404262,0;63033124221027,0;999863537933897
"d832d1731732dae4e08a61619d67b246",2;41717997028812,0;0239077854551359,0;421401304497712,0;0566281020057815,0;954841448294455,0;999863537933897
"cb17cc9b35e5f6cca2fe5c797932b1cb",3;84232030311237,-0;294034411012213,0;430692972077182,-0;689872133283311,0;490274601582957,0;999863537933897
"e46d53d06287f2ebcc2fa783ba3b27cf",0;61870474732464,-0;0455535832601931,0;360198098944507,-0;144458405308447,0;885138499630095,0;999863537933897
"c8b9b0235743763f8618574c37ff1ee1",0;74183491130552,-0;184267779679793,0;358239174135761,-0;493328624512238,0;62178040595002,0;999863537933897
"62fda9c642dc083caaaba6c7b6964f70",2;754334751913,-0;265901008241723,0;403006726237611,-0;670909468288553,0;502278204232352,0;999863537933897
"82013ba6ec27c1a656ecdd7ae52f0a16",0;869290715849566,0;0563563076037895,0;387090102219239,0;146313559051221,0;883673862472339,0;999863537933897
"bccbd5dfbc57b2d7eab47fa54945353b",9;13486538320583,-0;138532001464979,0;447807059084073,-0;309745262661825,0;756754679701821,0;999863537933897
"6eba1782b4b76596400075ffb189c282",0;859391207219134,0;455315355080467,0;407116723059632,1;05631586662257,0;29082392937323,0;999863537933897
"0aeb3dd2d812995e72004d3d6bd959a4",17;2049544937013,0;0921923784970801,0;454955975476323,0;202699552364731,0;839369873075299,0;999863537933897
"7b4ea12915f5734d00d128c642afc641",3;21743602339646,-0;566234242831444,0;430608562151905,-1;35987759985557,0;173868660592507,0;999863537933897
"2642afdd0afd43f5aa41c1830c97727d",19;6710388529309,-0;341372793874741,0;312036821003795,-1;09372563245245,0;274075328833734,0;999863537933897
"8b67e9a17f0191340a7965f40e1e455c",15;3413110214269,-0;467964114764384,0;286914859874132,-1;63040017668207,0;103016947354412,0;999863537933897
"c0fe7e81bcdb656c35e27fdd4101bf5e",12;6371748287128,0;0774882399026811,0;420842089509955,0;184164829705961,0;853884149355798,0;999863537933897
"0a737f4a6343f13a4473d3768f90304f",5;5186297680373,-0;0794746354095092,0;438323234874856,-0;181376835200178,0;856071800142495,0;999863537933897
"5ace0671215661bebf2156082132ec09",1;71025366820537,0;013332486938076,0;355671830059444,0;0374152320357548,0;970153927766266,0;999863537933897
"320308330d1c7b96c4722fb8c7c21048",9;43728319456227,-0;172281871091673,0;454440317577053,-0;379345895723417,0;704431022145213,0;999863537933897
"107b74f95d10fdd4436c7d496a435085",1;23239432076777,0;609312511168401,0;443456315876945,1;39388640363473,0;163351910681561,0;999863537933897
"99d363b06ebcae1d7cd799525f1ac0af",4;24246348987784,0;0385388953185544,0;361837943245863,0;106668265961398,0;91505215902605,0;999863537933897
"6dd0ca2c67fd3ea2f9a82a329262b9d4",3;56947908538115,0;0656914596800589,0;388114532476895,0;16936749844409,0;865507586637632,0;999863537933897
"184b2fa43c919d18bbd408e7f56793e5",1;696007688866,0;213221977391121,0;416977924305085,0;514081401149901,0;607195080208491,0;999863537933897
"b06f6e287a686f51c0ef4de1aa86358a",2;64457196240843,-0;0969287293794769,0;447595994245672,-0;217127565115556,0;82810893250014,0;999863537933897
"ff1f20defb7debccf206645b23148f34",18;1059609005659,0;0850306170027493,0;455719242035843,0;18659349331621,0;851979368730326,0;999863537933897
"6cf45435b887d3e3db4816d19cba991e",3;45336523495446,-0;0858440215470861,0;431840747871917,-0;198958658312878,0;842295083906583,0;999863537933897
"e68d33fd9600f8db320f93b0faa220aa",3;48600534239685,0;15459624484204,0;399001053523074,0;389494866534161,0;696910107360011,0;999863537933897
"4aaeb1c69f5cccbbaae2a54ae715868c",3;57432156546441,-0;13660752566978,0;439725337352646,-0;310764382931598,0;755979748205018,0;999863537933897
"88b52c7e2874af5955c1ae3f1ce40ba6",0,0,0,0,1,NA
"c77038ad3b0f7851eff80f0653a7d716",0;6658065200363,0;178148093956719,0;301566935178637,0;5248682289402,0;599674796935942,0;999863537933897
"a95aa7a89d9aecc62150151c82310d96",2;38336367670475,-0;290431288776099,0;379798083873477,-0;789447048725058,0;429850766577943,0;999863537933897
"c7fb06ace1ac48610546a01fdebff034",11;0720564451697,0;0131109839883185,0;442037551370662,0;0296752406765164,0;976326058301149,0;999863537933897
"1c305ad4c3d6570f3ca6c116d6fdbc92",0,0,0,0,1,NA
"0ee921fa196565bb74342dfc9912a9f5",5;26898751506704,-0;0843916060735922,0;433778635929813,-0;194630012678036,0;845682605627655,0;999863537933897
"f4089a99833694426658121b8cbfdda0",1;70035244825179,0;231311187502337,0;452499626880252,0;510791386027289,0;609497141527788,0;999863537933897
"02c48fa99be56c221e53f6c3ac703290",0,0,0,0,1,NA
"f7e842e07e5957287feba3df99d18ac8",9;90054410752585,-0;196697489905514,0;326806130886099,-0;601954270114729,0;547204577849416,0;999863537933897
"0dd63ca258236f7fc0a8fc0d990b6a5c",2;73206008401316,-0;275644447409147,0;39249151090292,-0;717523534352471,0;473051120319542,0;999863537933897
"d8581781dc57aa928dc1676ed2036656",0;626754086860206,0;197188663890224,0;362157529636617,0;578377371523663,0;563009367941131,0;999863537933897
"472d2d18e930aec7fc41731afdd6559f",4;84446821486521,-0;0861608170871495,0;405023239533614,-0;213015015173331,0;831315251035767,0;999863537933897
"71cbe403d1a4b5ea0dcc84277087ccb0",2;3087778546985,0;464065561960778,0;455421734906012,1;02327713501358,0;306176831422644,0;999863537933897
"ae3d3ae3ec702cb4aa0a3ba552bc6fdd",1;44473501704371,0;179352444435138,0;386499371742795,0;469168166626667,0;638949437581367,0;999863537933897
"cbf3542717a2d0d943fc442f4cc8c1a2",0;121061474931723,-0;0583266199882057,0;259145851819846,-0;239090063240066,0;811035746752151,0;999863537933897
"dc82f78f216099769e30ef359a1676c2",0;792581781957874,-0;152656535793666,0;28870467431221,-1;15874586349015,0;246559790188897,0;999863537933897
"b2c1126d746f984e745d6ccb29f4a5df",0;475898869322138,0;108909874595267,0;322596201375779,0;381603806428405,0;702755260411307,0;999863537933897
"3cb5941aa4a74dc5288714ebe9e3e848",0;145143564265422,0;0928466161746321,0;258598854787193,0;371128795469935,0;710541604479118,0;999863537933897
"f5bcbafc511fa1b4f8494bb491df53ba",5;74346629444198,0;279874011530243,0;403677209352341,0;706112680083115,0;48011806683441,0;999863537933897
"eeef6c021ae3f4c83e3b5698502109ad",1;47425994209806,-0;527086768973289,0;369120947564791,-1;6200774283514,0;105215645400968,0;999863537933897
"32a021e7bdb1b2a22d1e9afe4d49cc5c",0;86699759745686,-0;0168686020524167,0;301486719771472,-0;056124461125112,0;955242657487622,0;999863537933897
