ID	padj	R2	method
689ecfcb535923e2b6a016e6c393571c	1	0.245	Spearman
c57a2e3401f2569e4a2b2d2b28a97b2e	1	-0.250	Spearman
b08c06d6378a45e40da6261f573a2899	1	0.236	Spearman
83264332d2375fe55b37232f12d9d908	1	-0.239	Spearman
4ca1d2915ce488dbd9523d371e9150b6	1	0.245	Spearman
294d412fb2744759cfc8b2c419c92a51	1	-0.232	Spearman
21ed36361372e4be2f26a939869115d8	1	-0.236	Spearman
12eafc8c40103fa75b033f1adaa62c70	1	-0.241	Spearman
e247d3819a2ac80dbe03d7bfbf25faf3	1	-0.241	Spearman
8ed0c770d92018036521b699ee7b5d50	1	-0.243	Spearman
3960961749ec12802dfd63adf5f3a84c	1	-0.234	Spearman
02585dd90531388b3ce8444fa38351fa	1	-0.230	Spearman
26a92a9f61769b3b258acb16ac1e89aa	1	-0.232	Spearman
1b48c4d3ee0a987e10559dfd0e8f15a4	1	-0.230	Spearman
c2a48543a027c6074ef367cf84a50fce	1	-0.243	Spearman
b3927046c74fa0acad2ab93637242f53	1	-0.236	Spearman
7251e182735d06be3779216052ab8941	1	0.241	Spearman
1e0d2fc968ccdbb1899f346194c4ca8d	1	-0.230	Spearman
0234f49e2f04e95e6b3ee10104ba728f	1	-0.225	Spearman
b12ddca6297464966fec193c3c8c19cd	1	-0.239	Spearman
95d1730accd3dd0e1b5888ef6f07f4ab	1	-0.247	Spearman
58e202b647b3b4075ca70d20a4360ba5	1	-0.225	Spearman
559a057a04f03ce27680ea23b988a9ad	1	-0.234	Spearman
d90f84b477722d11724b4affc46b2239	1	-0.230	Spearman
baa21df0ece5389a88ff4bc90e2437d5	1	-0.225	Spearman
8de358e2d1fd42b61143d6eed839d2d8	1	0.225	Spearman
75162643434ca55e7c592bccd77d0930	1	-0.239	Spearman
8a6057bbcd25cbff7a3053ea6b77bf7c	1	-0.230	Spearman
2e8e3950ef3b26896ea8afa5428ccdcc	1	-0.230	Spearman
9f7f4cfed6cf0a3817b04500c2d11ea6	1	-0.239	Spearman
fec7a09429f28d23f86e80a6901085e3	1	-0.239	Spearman
21620754fb0296a086f1d85a8b4e26de	1	-0.234	Spearman
c64344f9c6120e1b5ad822d27e6bd76e	1	-0.236	Spearman
f2302232cb696b5c564ee297e2852618	1	-0.241	Spearman
d4a602c876a83ca7acc21badc6d567f5	1	-0.230	Spearman
7d6ec115b0e12bbba566b2a30b652228	1	0.236	Spearman
f2716ae7bb8f7acdb890682ef4c50648	1	-0.230	Spearman
ee64a599c00b057f67feb4af4f7aa1f7	1	-0.225	Spearman
b615bcff643d09a4919c40df64edad30	1	-0.221	Spearman
ac6d93cebd2d9a2bf1682505caa60a4d	1	-0.228	Spearman
7b4ea12915f5734d00d128c642afc641	1	-0.225	Spearman
64218f60738a7d5e0e5f8e96e9020028	1	-0.243	Spearman
286164e3f70a3a73551d306a13bdcb9d	1	-0.230	Spearman
aa50d49509b351200ae5d2ce8b5e13a9	1	0.241	Spearman
a965e83e38cb46524ce7a284e2d8d2df	1	-0.241	Spearman
93ee6cdeaa03d040e9cfd0a44d5d44c0	1	0.239	Spearman
5246130578e15b9ef98c145600410497	1	-0.221	Spearman
2d77dc75abe2d3b7c157a2e6d831a820	1	-0.239	Spearman
2c086881266f4b9314ffda3b7fc89acc	1	-0.239	Spearman
0cc9d6799693b6d57a35a36f9d8b04a8	1	-0.212	Spearman
0aae8ca4bbf62bfc2f854f6195b5e1f4	1	-0.230	Spearman
f4726d77f142e859f704213dcceac962	1	0.230	Spearman
8728640c77415d58d6b6ee9f45749b2f	1	-0.236	Spearman
832ffd3bf2aa5dbc7b562dff8edfd104	1	0.228	Spearman
7b613554efbd1e785f8043b4b3473730	1	0.230	Spearman
2a8a18221bbdb53b353ac69d583c8537	1	0.247	Spearman
14a0d632fb7a0a6d2c6e6f669ff731ae	1	-0.225	Spearman
feebddf6198a76a6fb49a82a2641ce5d	1	-0.230	Spearman
e05e14046636239585d9a013ccc2c780	1	0.241	Spearman
d7cb2d8bda9114af5d8322079af30cd8	1	-0.225	Spearman
b06eacd8f6e5ddb7044798a0137a8746	1	0.230	Spearman
ab50ba2c1bb9d69c78021ec98557703b	1	-0.232	Spearman
754a738aeee8ee53014d8f3c2ab9325b	1	-0.225	Spearman
61f0e4849e865146ff54b9410bf388e5	1	0.239	Spearman
30761f0217ee093684ad85e004cfaa06	1	0.230	Spearman
dd7e4a3f9902b0fe09a681193f220635	1	-0.228	Spearman
1ed9a209b367fd8ef3ea6a16869fb522	1	-0.221	Spearman
ad87b54bb02322ef60810d11bd483195	1	-0.234	Spearman
53df71a1ad91402b2047de2a0221939d	1	-0.221	Spearman
337686291c4a4d58d8474413b091435a	1	-0.223	Spearman
33097f86d53cd540b8f7abefac61a93a	1	-0.221	Spearman
0484c048f271abd9f3033d5c2c88ad1f	1	-0.234	Spearman
8c881dc0c5b38358e6b62e84b908028c	1	-0.230	Spearman
4c8907a3f83037e8c513a1a779cf111e	1	-0.225	Spearman
01afa3632bdc5c23cf313be972de6046	1	-0.232	Spearman
