"","taxon","mean;difference (Infected - Healthy)","se (Infected - Healthy)","W","p;val","q;val","diff;abn"
"665b86b4801f25b4065fb892543274b0","665b86b4801f25b4065fb892543274b0","-0;1024326338","0;30313425","-0;3379117752","0;735429673636","0;997723954","FALSE"
"f2a7fe87a53801323a407fcd8d818041","f2a7fe87a53801323a407fcd8d818041"," 0;2214073552","0;42119850"," 0;5256603635","0;599124207913","0;997240708","FALSE"
"efb38024b5809c80f6a448338c25b324","efb38024b5809c80f6a448338c25b324","-0;2314501266","0;47472398","-0;4875467388","0;625870929217","0;997240708","FALSE"
"50761adbbe9ebf60a1b6d0bf64de893b","50761adbbe9ebf60a1b6d0bf64de893b"," 0;0546706076","0;15087792"," 0;3623499631","0;717090526080","0;997240708","FALSE"
"77f94cfb07fddf148eccc2db4457223d","77f94cfb07fddf148eccc2db4457223d","-0;2442619079","0;19117302","-1;2777007144","0;201354973240","0;864127410","FALSE"
"77e73d34a43c279888c04db2b05aed96","77e73d34a43c279888c04db2b05aed96","-0;3503454586","0;30284120","-1;1568619281","0;247328775546","0;896458334","FALSE"
"ee64a599c00b057f67feb4af4f7aa1f7","ee64a599c00b057f67feb4af4f7aa1f7","-0;9294234697","0;30670739","-3;0303262894","0;002442896674","0;161682489","FALSE"
"0a7dccd640f53aeb41557705c14b6933","0a7dccd640f53aeb41557705c14b6933"," 0;2597212369","0;33377544"," 0;7781316701","0;436491393991","0;981194343","FALSE"
"de06357461a2f4b6719dc6b177c2abae","de06357461a2f4b6719dc6b177c2abae"," 0;0095770323","0;29589618"," 0;0323661907","0;974180024237","0;997926688","FALSE"
"689c44cf8243ad1733062422e13bb30c","689c44cf8243ad1733062422e13bb30c"," 0;2508698004","0;28937197"," 0;8669457470","0;385971736429","0;981194343","FALSE"
"d076b9fc2d7c82cabae0784de6e1d37c","d076b9fc2d7c82cabae0784de6e1d37c"," 0;3992100914","0;28041774"," 1;4236263604","0;154554660920","0;831707022","FALSE"
"865206fbb45f7791076eb6603d446d20","865206fbb45f7791076eb6603d446d20"," 0;5181504898","0;35009639"," 1;4800223553","0;138867280781","0;789542739","FALSE"
"6457ce7701f8545b420b4e827004ff57","6457ce7701f8545b420b4e827004ff57"," 0;0239920497","0;20407700"," 0;1175637113","0;906413359693","0;997926688","FALSE"
"c6157a9943c8abfa7057fd44bcabaaa6","c6157a9943c8abfa7057fd44bcabaaa6"," 0;1375047016","0;26669540"," 0;5155870722","0;606142841412","0;997240708","FALSE"
"d6e9500411aeb7595d6cc34591322dc9","d6e9500411aeb7595d6cc34591322dc9","-0;4508248549","0;24577607","-1;8342911047","0;066610793876","0;644103484","FALSE"
"6026a3c735407aee1c80bdca89f97a03","6026a3c735407aee1c80bdca89f97a03","-0;0029519446","0;17717638","-0;0166610506","0;986707019942","0;997926688","FALSE"
"83ea79c156b48ac26b9cfaf604d2749d","83ea79c156b48ac26b9cfaf604d2749d","-0;4703766190","0;27149694","-1;7325301094","0;083179220953","0;678575704","FALSE"
"70645cb5397bc6a24f03bafcc26eb4ea","70645cb5397bc6a24f03bafcc26eb4ea","-0;1800855332","0;14164561","-1;2713810021","0;203593137870","0;864127410","FALSE"
"6190444efcb88a9186908fb46a8417df","6190444efcb88a9186908fb46a8417df","-0;0687411146","0;25292293","-0;2717868046","0;785785951871","0;997926688","FALSE"
"d1400c3fb5f795bf73de3175e8668c0a","d1400c3fb5f795bf73de3175e8668c0a","-0;7460149067","0;39495743","-1;8888489032","0;058912077829","0;621421172","FALSE"
"09fd7da85590a86e26441ea95c42d8b4","09fd7da85590a86e26441ea95c42d8b4"," 0;0244042032","0;20886194"," 0;1168437047","0;906983909585","0;997926688","FALSE"
"712a7e80735c23bc0b2d68ae87b4bebc","712a7e80735c23bc0b2d68ae87b4bebc"," 0;4480473224","0;23365455"," 1;9175629774","0;055166448336","0;605981535","FALSE"
"44f0260c682d258eca77ebc5a852ecdb","44f0260c682d258eca77ebc5a852ecdb"," 0;1937036929","0;26208648"," 0;7390831314","0;459856519272","0;981194343","FALSE"
"18e97ef638da0b125f1093f380d0c1d7","18e97ef638da0b125f1093f380d0c1d7"," 0;6054331767","0;31033507"," 1;9509016034","0;051068751894","0;596486512","FALSE"
"37a3356f7a1c94ea89474feb9d17b60f","37a3356f7a1c94ea89474feb9d17b60f"," 0;4618502085","0;42123094"," 1;0964299212","0;272890675745","0;921228981","FALSE"
"e3648567ab771e6d7a13936124e01532","e3648567ab771e6d7a13936124e01532","-0;2473207259","0;21067201","-1;1739609957","0;240410648969","0;893567110","FALSE"
"53777b50348ee275dfe0ddb4650726d3","53777b50348ee275dfe0ddb4650726d3","-0;3877982810","0;31242530","-1;2412512118","0;214512961672","0;873530968","FALSE"
"cbef0c54da29479bd798fc14ea3042eb","cbef0c54da29479bd798fc14ea3042eb","-0;1143368496","0;22782787","-0;5018563008","0;615768606288","0;997240708","FALSE"
"69f9300eb2228450c8d12e6b5c851a8e","69f9300eb2228450c8d12e6b5c851a8e","-0;3693750568","0;34678018","-1;0651561849","0;286805257487","0;935267725","FALSE"
"3fc57f822cf6dec2eebd774847638691","3fc57f822cf6dec2eebd774847638691","-0;2786966892","0;36445890","-0;7646861880","0;444458432792","0;981194343","FALSE"
"059e004eee8e9d0649abbf7bb734424e","059e004eee8e9d0649abbf7bb734424e"," 0;5065375320","0;38584191"," 1;3128110708","0;189246618628","0;856168279","FALSE"
"4f1e396f477488d9764ff936aa93925d","4f1e396f477488d9764ff936aa93925d","-0;2349202946","0;27783169","-0;8455489537","0;397804412450","0;981194343","FALSE"
"5501da85fa53404c3853f5578de773c0","5501da85fa53404c3853f5578de773c0","-0;8553211044","0;36664938","-2;3328039139","0;019658439165","0;432143826","FALSE"
"ce24f58d53a7a67f0152f984b31ba21c","ce24f58d53a7a67f0152f984b31ba21c"," 0;3019659799","0;18903150"," 1;5974373261","0;110168257748","0;735766328","FALSE"
"ad76ff1d2eb96f31f127fec6e9e2b14b","ad76ff1d2eb96f31f127fec6e9e2b14b"," 0;8808169836","0;39542391"," 2;2275258377","0;025912150961","0;475158319","FALSE"
"c76b0e2c78aa589a5e1f7f348dbf81aa","c76b0e2c78aa589a5e1f7f348dbf81aa","-0;0264904878","0;39097213","-0;0677554384","0;945980317191","0;997926688","FALSE"
"0799d5be8ccb16cfab14ec62701319ef","0799d5be8ccb16cfab14ec62701319ef","-0;4726547466","0;34182951","-1;3827207192","0;166750516386","0;835600380","FALSE"
"f2302232cb696b5c564ee297e2852618","f2302232cb696b5c564ee297e2852618"," 0;0238552668","0;26635321"," 0;0895625286","0;928634862540","0;997926688","FALSE"
"ffe863165e9817701a14e84ebe8993fe","ffe863165e9817701a14e84ebe8993fe"," 0;2627037790","0;30397422"," 0;8642304436","0;387461311487","0;981194343","FALSE"
"c01b5a0eba006dcbf25adb235229c53a","c01b5a0eba006dcbf25adb235229c53a"," 0;0232157187","0;30045765"," 0;0772678566","0;938410461156","0;997926688","FALSE"
