"","average","sd","ratio","ava","avb","cumsum","p","padj"
"0277102a716eb4b29c955229c1f0bd05",8;25557210134274e-05,0;000350662563287661,0;235427814818385,0;000154588586486657,1;28525366995803e-05,0;796338564305729,0;176,0;890725501113586
"91a6158752846b2db24063f06d197b3d",8;23232166270123e-05,0;000129567032223168,0;635371631305238,0;000152500469389026,2;98738098209905e-05,0;796472825306761,0;007,0;396466666666667
"028110593bf849753e4f72a74ac9dcd3",8;22823426861373e-05,0;000141969695734816,0;579576805178424,8;0283043693866e-05,0;000108191552788012,0;79660701964645,0;984,1
"0fea67543da3fe19353775b90df4fe7e",8;22514086369287e-05,9;60933950202796e-05,0;855952780308889,0;000112062086325254,0;000104473515195145,0;796741163535772,0;967,1
"c4fa6717d7810fa6776ce256b0a25231",8;21964535029694e-05,0;00017189602456044,0;478175418618063,9;00327650521747e-05,9;08663004036755e-05,0;796875217798722,0;746,1
"c0a8298ec9e469004ed0f012aeb1ca4b",8;20802796781091e-05,0;000107888177873012,0;760790304334554,3;09252934846787e-05,0;00016233480016442,0;797009082593686,0;001,0;258565217391304
"e53b7980ac22740d8a6b27f3d7a1f83e",8;19139124972424e-05,0;000104288424287329,0;785455462166711,0;000153056543210239,7;83546546433608e-05,0;79714267606028,0;154,0;881461020211742
"aa221ba5b8d558d8d38c26a6a5dc6b80",8;1870882002806e-05,0;000149000760710743,0;549466201462844,6;75817625716123e-05,0;000116510080951353,0;797276199348405,0;668,1
"754a738aeee8ee53014d8f3c2ab9325b",8;18561758220371e-05,8;25917963988e-05,0;991093297290558,8;77393718387354e-05,0;000140300564054203,0;797409698652208,0;331,0;94732601299103
"0c8b2126c48970fd6095587af877e265",8;18256811360216e-05,8;74663352332988e-05,0;935510570069823,0;000107405222890721,0;000119591141367307,0;797543148222203,0;876,1
"8ffc09538e7d18b0cebd8667381d9090",8;18140846080801e-05,7;97662757301757e-05,1;02567261488842,0;000155037140122052,0;000207550182846788,0;79767657887941,0;671,1
"9a73d8cb0b45e0f49f943f4b3e5d3539",8;17781963103803e-05,9;27980625153185e-05,0;881248962464932,0;000114393150185381,0;000134782060618227,0;797809951006364,0;879,1
"777c90a865e5efd9a8918dbe00a72a7a",8;17196308801289e-05,7;45911078963676e-05,1;0955679997898,0;000113935344696061,0;000140112631545587,0;79794322761891,0;878,1
"0070d76015d2a0fa8aabf7b1f36e0dbb",8;17176759284703e-05,6;9666636853115e-05,1;17298149616098,0;00015005502518449,0;000144092695924061,0;798076501043124,0;715,1
"6f08680eaf16f39cc0305ea8450ef620",8;15007653443386e-05,6;34049637871056e-05,1;28540039259376,0;00018451743543856,0;000163776416946958,0;79820942070769,0;736,1
"771b0d445b04a2b2d206f8b45604f5d3",8;149398167858e-05,9;08756534932931e-05,0;896763638509565,0;000120502009525396,0;000106722511218325,0;798342329308769,0;749,1
"1805e393f56dc746e3f87437bc8216bb",8;14429297665905e-05,7;61484567878331e-05,1;06952830302929,0;000172470974930984,0;000181208667718668,0;798475154649244,0;999,1
"0bf3e1cf5ceabe8a96d8a6461d8d6dd6",8;14380882151052e-05,6;74460422323143e-05,1;20745540464177,0;00016232813118267,0;000128485644631016,0;798607972093628,0;594,0;994235294117647
"edb14d7aadc8646848f73b9be8d9923c",8;14212784931416e-05,0;000109703710389384,0;742192567636445,8;80173238278552e-05,0;000114990089475331,0;798740762123023,0;926,1
"f31df92b794801aef818862a0e32e254",8;14035712764037e-05,0;000101953607311461,0;798437381697749,0;000145361362626137,4;92585370234156e-05,0;798873523273704,0;04,0;734418674698795
"346c0143c2f0c8e941277297b11e3960",8;13661825847053e-05,0;000299761991224274,0;271435955747403,1;47258168446521e-05,0;00015213997700438,0;799006223447137,0;612,1
"4acb0c5a2a4553ab8efb4c841285a66a",8;13463559099019e-05,8;47729094655666e-05,0;959579615973231,0;000142774058938426,7;58260303843393e-05,0;79913889128523,0;117,0;843495828367104
"b61e7eee8694b816a9c94fe2b1eacd78",8;12988271884002e-05,7;29086110904141e-05,1;11507853424311,0;000121697023857686,0;000144021084334421,0;799271481608693,0;902,1
"e561416225eee83ed326987a3f667fc6",8;12275136096464e-05,7;39350940161569e-05,1;09863272226172,0;000191071941202904,0;000191199153368717,0;799403955626781,0;37,0;94732601299103
"bd022e1f922d2f479568ea91cef510b1",8;12088782672647e-05,0;000107791298841583,0;753389922377819,0;000160587869589795,3;43690230694399e-05,0;799536399252475,0;005,0;358253012048193
"b8d662a1913b93cbfad6c9de426ec57e",8;11969290607579e-05,0;000104566541617953,0;776509654086306,8;32843849594964e-05,0;000123504241763897,0;799668823390198,0;7,1
"d8067d534b842ca4de6c1dd0ec9f460e",8;11627362950364e-05,8;8194880578484e-05,0;920265844941083,8;06952241869125e-05,0;000136009575127608,0;799801191762912,0;321,0;941462143559489
