"","average","sd","ratio","ava","avb","cumsum","p","padj"
"2ecbc15d95660b3213fa92b93d192244",0;000705464836643803,0;00147118447474548,0;479521670296207,0;000859328687976313,0;000808001424017993,0;288074370667896,0;323,1
"5905e2963b6009b9f4bf69cd64b0c604",0;000704892103709405,0;000556997408434035,1;26552133463451,0;00219549245456381,0;00241632831726491,0;289326913076236,0;638,1
"caa6a0bfacc7ac68cf36148e9f25ec49",0;000703220359416068,0;000563002539688902,1;24905361848749,0;00144002454314296,0;00162614516133784,0;290576484915588,0;805,1
"e76ccd321e94f6336d90382915d996a6",0;000697989257347811,0;000778232200988664,0;896890743483869,0;00104299188041501,0;00103523630396404,0;291816761464003,0;98,1
"a9b5012998a93b7efb19f65e0c6931f9",0;000696763720779201,0;000575646685108492,1;21040169048812,0;00274170005114462,0;00324211780712765,0;293054860322362,0;272,1
"d1c82034e8f89e5c1a848af71a5688d6",0;000695373114470888,0;00111076622199259,0;62603012290333,0;00118281327485472,0;000714322860825271,0;294290488173648,0;735,1
"eccf0b2ee0c3c447275c741d0019ea51",0;000688011509200332,0;000578520198698176,1;18926099857627,0;00253112844532567,0;00291113519413391,0;295513034983528,0;297,1
"ffdd68694579455e0517c13597fecbbc",0;000684255574883049,0;000764359482237938,0;895201264305172,0;000921883740684216,0;00120327668361315,0;296728907769127,0;73,1
"cf945133ca7416da2bd69c629822778d",0;000672792010864924,0;00226053084722293,0;297625671284889,0;00132927787610343,0;00022108427316512,0;297924410628595,0;061,1
"67d5d9b7a2902349e2222f86334b8e65",0;000672081129060439,0;00049383470821183,1;36094348551165,0;00180800263342535,0;0018178667674338,0;299118650302388,0;727,1
"64017deee47f9a826e4fdfef4a532747",0;000670763414450777,0;0005796064977056,1;15727380059752,0;00175608732522756,0;00184824471455912,0;300310548492397,0;654,1
"1dbb4a7acb10be4100df199b02ed4f82",0;000667078560079625,0;000770491530572474,0;865783118451655,0;00133806789728401,0;00144621156315761,0;301495898962061,0;904,1
"b2a756770d670fed07daff8c91b09fc3",0;000666969672160705,0;000633758802670714,1;05240301097206,0;000761739896162825,0;00124478725492431,0;302681055945749,0;173,1
"0484c048f271abd9f3033d5c2c88ad1f",0;000653591289697365,0;000476775837001633,1;37085657236259,0;00231443916335924,0;00261324458842914,0;303842440509088,0;669,1
"8cd1e89c0a2ce90d0216b905c92eeb4f",0;000650240642680373,0;000601447148534655,1;08112681931338,0;00148235795246999,0;00127796919827519,0;304997871214437,0;393,1
"e8b00e66dd1b95e40144e38e34c7ae9f",0;000646746286185847,0;00047718672688451,1;35533167573283,0;00272905753600897,0;00262082654453434,0;306147092700422,0;974,1
"c6624111632c780728cbfac4dc29812e",0;00064308586696628,0;000495991895057248,1;29656527329354,0;00198040616160729,0;00175285812854432,0;307289809885564,0;345,1
"d22c8d80f6f971974e9ec29b91f9a8ff",0;000636298041684767,0;00121187797350848,0;525051247397984,0;00101068188664936,0;000462872471039975,0;308420465594941,0;406,1
"53f3532bbe5e744c76a7ef7104124409",0;000627822503554554,0;000547553499311023,1;14659572871789,0;00178496546589104,0;00159054643822658,0;309536060884595,0;875,1
"0ed5b99a4aeca8b560ae63673cb7db5b",0;000619040766687288,0;000583394951001772,1;06110065852354,0;00178626748410429,0;00189944805805595,0;310636051661463,0;344,1
"342e1cacfa8ee066c2c1c6730e259437",0;000598962925134927,0;00115590584662456,0;518176222470023,0;00070132827991507,0;000732919486143511,0;311700365562565,0;886,1
"458789400c82e9d4647c9a5ca003bd41",0;000596436066219284,0;000600177631155607,0;993765904055573,0;00119805449211102,0;000998551310267469,0;312760189417694,0;886,1
"53450247995a096071283e5cb652b2b5",0;0005948175057888,0;000628774250270905,0;945995332239711,0;00112688908964408,0;000880975946676317,0;313817137207722,0;533,1
"642bebc8985100e9947364f7d440cbd3",0;000590353623935337,0;000735767280484469,0;802364605757701,0;00226920577527189,0;0018585562162718,0;314866153001778,0;352,1
