"","cnth","unobh","cntd","unobd","fisher_p_both","padj"
"07045ad055fd4af32005c3a8419db4a8",10,20,5,25,0;232598470393837,1
"07265506f56410b68c8c8d6b41e23c4d",25,5,26,4,1,1
"072910e17990acd1b3360d822f310972",24,6,24,6,1,1
"0743a937815202bd6ddce9bc09b68cc2",5,25,6,24,1,1
"074ba560944238b9bcc93d34301c047b",13,17,16,14,0;605807173273187,1
"07576e5eafcd4a3b2220207e16bb8f3b",1,29,0,30,1,1
"07626e4dc83a1cc9674bad3f5be3622c",4,26,7,23,0;506177594327247,1
"07689d66aa319f7d6284432b8228723a",14,16,17,13,0;605807173273187,1
"0772617e494241f16d201adb465a38c2",12,18,19,11,0;120454413722008,1
"077993b2ae2e16d81fd3a6aca4b8bb15",14,16,13,17,1,1
"077a9c38bccebb16ad9f41b8db7424d4",3,27,6,24,0;471644558965516,1
"07841f83c249a5049ddb6e63a4e1e9a1",18,12,17,13,1,1
"078a32008f31489f6d04bceb40abcbd0",12,18,7,23,0;266835660720814,1
"079383edcb6ed65b5cf327b057fb8f98",18,12,16,14,0;794774525639185,1
"0799d5be8ccb16cfab14ec62701319ef",11,19,9,21,0;784652573562777,1
"07a7cdeea5aa2e75283d76e36d49342d",15,15,19,11,0;434815558704739,1
"07b397cbd8971b837083997ad38d64d6",4,26,8,22,0;333411738115205,1
"07b53cc20a27f228a7e00395e82891ad",12,18,12,18,1,1
"07bb7b31566787ca615c71b5a879d3fd",18,12,18,12,1,1
"07cadefc7d09327aae4f79cd80373bee",5,25,1,29,0;19450977211905,1
"07e3022208e0a62b31d2ad13c7934aee",1,29,0,30,1,1
"07e558feb5eb10e618334c6797c8cefb",19,11,21,9,0;784652573562777,1
"07ff497df71397a00e8dfcc8366b678f",8,22,6,24,0;761068496728027,1
"081e8ae1205298b969c1e45797280ccd",6,24,7,23,1,1
"081ff84e6786589adde9152b88961e4a",2,28,0,30,0;491525423728814,1
"08203d6b42082b1eaa730562640601ea",6,24,7,23,1,1
"082a6b112af89e099ad4180380d2bcc5",1,29,1,29,1,1
"082ca77cb9226b437bc24c297c250739",17,13,15,15,0;79610715858958,1
"082d9f2f1b2d226a26913973d1ccd0cb",4,26,4,26,1,1
"0831be3d1e17fb03121219159726364a",12,18,11,19,1,1
"08326c83709174742c35320dad09392c",17,13,17,13,1,1
"0834cfc57a82091c9ff4da0c46770705",2,28,1,29,1,1
"0843284bcbb3a080ec46853f7dcbebca",10,20,9,21,1,1
"0845794954001abc80fca55064d1d1b5",1,29,1,29,1,1
"0849f111a5d00ca94b07936b25903d2d",11,19,9,21,0;784652573562777,1
"084d797b316093b33c6ae170cc400277",20,10,18,12,0;789170351739782,1
"08565909cf3d8eee44d2c54672a9cf11",5,25,3,27,0;706469199425287,1
"085c7ed0d9062a69844dc94d1f928f2d",13,17,13,17,1,1
"086792fc73e935db50acf0ab2e9fe815",12,18,14,16,0;794774525639185,1
"0875cf16dca4cefaa2caa08015368e51",18,12,19,11,1,1
"08a79a5aad2371b5b74098c6903db4d5",10,20,10,20,1,1
"08bf263cc3f5b31714eadbad7c3a901a",1,29,0,30,1,1
"08bf8db35650acea93b4a92bd7a804a3",19,11,18,12,1,1
"08da20204f464ca4fafa98ee9f1873d4",12,18,11,19,1,1
"08da400b0e70bb21e2da6a0b5a98bfa1",3,27,9,21,0;104164736603072,1
"08dbc417f9be940a56caf81f689707b3",7,23,11,19,0;398508976829821,1
"08e139073a6c887ce49246abfa7f27c5",6,24,7,23,1,1
"08e13a650d4b21597fe44b9b22e520df",3,27,6,24,0;471644558965516,1
"08eab415c131848670bdb06e5ca80e5e",18,12,19,11,1,1
"08ed8669b3037dd05dda28bd29a9e51f",6,24,5,25,1,1
"08fa6072229e1b7e7655733b2ab6080f",1,29,0,30,1,1
"08fda3fd33ac170693addb83d87a5cfe",5,25,9,21,0;360360454782322,1
"0904ced6a18033c35ff0556e54d33bfa",10,20,9,21,1,1
"09058d4bdada22c7d6ef4ddf0b6b5ce0",6,24,9,21,0;552003431365051,1
"090be713102914c3d91e099b08d387bd",8,22,4,26,0;333411738115205,1
"0912461aebb6bb03fcdadce791fa55bd",4,26,2,28,0;670748519990268,1
"091cc27e1471a05c52e47f2d6c1d7490",2,28,3,27,1,1
"09237b794497083a67dab1f90edd5c0e",10,20,11,19,1,1
"092438117ad5bf72b95702e1d50cad47",24,6,18,12,0;158062051761198,1
"0926afd838d51243f89305c8ab5f62cd",20,10,21,9,1,1
"092a5eeb3ab18d13300f44795eb96ae3",11,19,14,16,0;600950466520637,1
"0936fb4e71c0c3d0c1d734ce09d5fb77",12,18,12,18,1,1
"093e34378531c66fd56ffdcba34644b1",2,28,3,27,1,1
"0943a90a44fc053d7ebb13b4ac83813a",2,28,1,29,1,1
"09449ae059a6fc91f60182d98ae2cf98",13,17,9,21,0;421975381019902,1
"0944efb3f94f1cc0d02dd9ef57fa7280",1,29,0,30,1,1
"0947660d6cc61a40db029181330e3cee",16,14,16,14,1,1
"094e9fe1b5d8c5cab21be14230f32712",11,19,7,23,0;398508976829821,1
"0953da9d8934ae8cc89085be18a2623d",15,15,16,14,1,1
"096767a93e637c19a3542b3093fefcb4",13,17,12,18,1,1
"097dae7ec233afc75714bfb97d9e9a61",13,17,16,14,0;605807173273187,1
"09908733f45a104785ad19cbeb2cc320",2,28,4,26,0;670748519990268,1
"09afb2d94960ea34bb63d6ab4b8fc3f1",0,30,1,29,1,1
"09bb63cf7380fb6db5f8cfd65c886c5d",20,10,19,11,1,1
"09bb70b6815c305297178513d6b198be",1,29,0,30,1,1
"09dfa3f16a610b2816449743821233d7",12,18,16,14,0;43789542152343,1
"09e1bde8fc77b96e7716a01b6156dbb5",2,28,1,29,1,1
"09f668f20d4e2737b0a1f4cb8493a7d0",13,17,10,20,0;595909840834582,1
"09fcaf11cf86e6c59af0ef06362ff475",4,26,3,27,1,1
"09fd7da85590a86e26441ea95c42d8b4",9,21,6,24,0;552003431365051,1
"0a0536fb2d0bef72f83a88b656e9eb8c",4,26,6,24,0;730642324178498,1
"0a16ca2511d1a15210d5430c883dc73a",16,14,13,17,0;605807173273187,1
"0a19c4b4f849907444d1f9f0d8451d1d",3,27,0,30,0;23728813559322,1
"0a1a2773e0c5cb9382f4af6ba836694c",8,22,4,26,0;333411738115205,1
"0a2665f3c349fe8863d9c24448aafa35",8,22,9,21,1,1
"0a46e4d098105adb94c3a6983694e1bc",9,21,10,20,1,1
"0a4d085ed8480ad5a552fe67f47e2ac2",0,30,1,29,1,1
"0a4fbbbd399f11ef320d478ecd20069b",15,15,12,18,0;604208013732714,1
"0a541e8f2bbf959980050ad930eaedac",24,6,22,8,0;761068496728027,1
"0a5ac6ad6e5c48e1cabc6ced5b6ffd3c",8,22,7,23,1,1
"0a5bb4db79b41597a3c564d06ef28f46",9,21,8,22,1,1
"0a6445df31335c59b3a312c305e84bad",5,25,13,17,0;0470223259482567,1
"0a737f4a6343f13a4473d3768f90304f",0,30,2,28,0;491525423728814,1
"0a7dccd640f53aeb41557705c14b6933",14,16,18,12,0;43789542152343,1
"0a859c590216d53520a8d96c51c610c3",15,15,15,15,1,1
"0a94f650125f10a11c6a63f3b1065355",29,1,27,3,0;611953612845674,1
"0aa3d27f563265770c78cdc509bb672f",9,21,11,19,0;784652573562777,1
"0aae0750dc41f1900e96daba9ecf7dde",14,16,15,15,1,1
"0aae8ca4bbf62bfc2f854f6195b5e1f4",1,29,2,28,1,1
"0ab4ca1d1040b291a084e09b3dd4c7fd",2,28,2,28,1,1
"0ac9f92b2a59e987931d53879b4084a5",10,20,9,21,1,1
"0acf3fb9ea867ffd7341598e025a1725",23,7,18,12,0;266835660720814,1
"0ad4835d0d87e3747ef19984a02cde3e",6,24,4,26,0;730642324178498,1
"0ae8571522d94ff380ace2b425273409",1,29,1,29,1,1
"0aedf968fcbd25274b80d5acc4034396",13,17,14,16,1,1
"0b02f55d2c0284e390496e311dfcac8c",21,9,23,7,0;771023976031026,1
"0b0f63d628fe3d62d49ac8373a374604",6,24,4,26,0;730642324178498,1
"0b1c6513335076fb633530a3e04a8d43",17,13,14,16,0;605807173273187,1
"0b1d1119845da6b23a7f665cdeace7d2",5,25,4,26,1,1
"0b28ddc2cfc2c4df7256c6caff0a2b22",9,21,11,19,0;784652573562777,1
"0b29eca533e0baa35aa87a547231e5c8",1,29,1,29,1,1
"0b35df818ed53c0f7874fa0eb6f93d3c",8,22,5,25,0;532092472759053,1
"0b3753770700e697f28e631d2fd3ee45",2,28,1,29,1,1
